pref,city,pop,A6,B1,B2,B3,B4,C1_park_area,D1,D3,A2_car,A3_public
東京都,武蔵野市,150219,20.5,1.8,42.4,18.2,31.8,4.38,100.0,142.0,12.1,52.0
東京都,三鷹市,195391,20.8,2.0,43.1,18.5,31.9,3.35,99.5,148.0,14.6,51.9
東京都,調布市,243862,21.2,2.2,44.0,19.0,32.0,3.07,98.5,155.0,14.7,53.9
東京都,西東京市,207388,22.8,2.0,43.8,19.0,32.0,3.23,99.0,152.0,12.2,51.4
東京都,小平市,198739,22.0,2.4,44.5,19.2,32.0,4.75,98.0,168.0,11.6,48.3
東京都,多摩市,146951,28.2,2.0,43.0,18.0,31.8,5.71,96.0,195.0,10.1,49.7
東京都,東大和市,116841,26.0,2.4,44.5,19.5,32.1,5.57,97.0,175.0,9.2,48.9
東京都,府中市,262790,22.4,2.6,45.8,20.2,32.3,6.51,95.59818677669078,178.0,10.2,52.5
東京都,日野市,189751,24.5,2.8,46.0,20.5,32.4,5.05,95.2,198.0,10.1,52.0
東京都,立川市,184183,23.1,2.8,46.2,20.8,32.5,8.04,92.3,185.0,12.9,50.2
東京都,町田市,432348,26.2,2.4,44.8,19.5,32.1,4.53,88.2,235.0,10.1,55.3
神奈川県,茅ヶ崎市,243780,24.0,2.0,41.5,19.0,31.4,8.69,95.8,240.0,26.9,41.1
東京都,八王子市,579355,26.8,3.2,48.6,22.4,32.8,6.54,78.5,215.0,13.1,46.9
神奈川県,藤沢市,436905,23.8,2.2,42.0,19.5,31.5,1.46,93.0,245.0,29.8,41.1
東京都,青梅市,132626,30.5,3.0,47.0,21.0,32.6,3.81,72.0,258.0,14.9,47.9
埼玉県,戸田市,143338,17.5,4.5,49.5,23.5,33.0,6.54,99.0,155.0,40.0,28.4
神奈川県,横須賀市,388078,31.2,2.0,40.5,18.0,31.2,2.94,88.5,295.0,33.00525444391294,35.4
千葉県,習志野市,175723,22.0,3.2,46.5,22.0,32.4,6.73,97.0,185.0,43.4,25.2
埼玉県,新座市,165866,24.2,3.5,47.0,22.0,32.5,6.66,95.0,210.0,44.9,30.7
神奈川県,大和市,242478,23.0,2.8,44.8,21.0,32.2,3.06,97.0,220.0,28.6,40.2
千葉県,市川市,496676,22.8,3.5,47.0,22.5,32.5,3.26,98.5,175.0,41.7,27.4
神奈川県,海老名市,139653,21.8,2.6,44.0,20.5,32.0,1.0,92.0,275.0,27.5,40.2
千葉県,船橋市,642907,23.2,3.8,47.5,23.0,32.6,4.0,96.5,195.0,42.5,30.0
神奈川県,平塚市,258227,26.5,2.4,43.5,20.0,31.8,5.15,90.5,310.0,28.7,39.5
埼玉県,草加市,249899,23.8,4.5,49.5,23.8,33.1,5.95,98.0,195.0,41.4,32.7
埼玉県,川口市,594274,23.5,4.8,50.0,24.0,33.2,2.69,98.5,180.0,42.2,30.9
埼玉県,所沢市,342464,25.8,3.6,47.5,22.0,32.6,6.08,90.0,265.0,42.6,24.8
千葉県,流山市,199849,21.5,4.0,48.5,23.0,32.8,6.24,92.0,215.0,45.9,28.9
千葉県,松戸市,498232,25.5,4.2,48.8,23.5,32.9,3.24,97.0,200.0,41.1,26.6
神奈川県,川崎市,1538262,21.0,4.2,49.8,25.0,33.0,2.22,99.2,165.0,25.1,43.0
神奈川県,小田原市,189053,29.8,2.2,42.5,19.8,31.6,4.09,78.0,335.0,32.7,38.8
千葉県,八千代市,200879,24.0,3.8,47.8,22.8,32.7,3.34,88.0,240.0,44.8,24.7
埼玉県,越谷市,341621,24.0,5.0,50.5,24.5,33.3,6.38,92.0,245.0,42.8,29.6
神奈川県,厚木市,224420,23.5,3.2,46.0,22.0,32.5,4.91,82.0,320.0,31.1,34.7
埼玉県,狭山市,149858,28.0,4.0,48.5,23.0,32.8,8.36,82.5,310.0,43.4,25.5
埼玉県,入間市,147080,27.0,3.8,48.0,22.5,32.7,8.48,78.0,335.0,45.9,30.3
神奈川県,秦野市,163246,27.5,3.0,45.5,21.5,32.3,1.16,80.0,350.0,32.9,36.9
千葉県,千葉市,974951,25.0,4.5,49.0,25.0,33.2,2.87,92.0,265.0,42.1,28.6
千葉県,柏市,426468,23.8,4.8,50.0,24.5,33.2,6.37,90.0,255.0,44.0,27.0
神奈川県,相模原市,725493,25.5,3.8,48.2,23.5,32.8,4.24,85.0,285.0,26.5,41.8
埼玉県,さいたま市,1324025,23.0,6.2,53.0,26.5,33.8,5.62,96.0,225.0,39.8,30.9
埼玉県,上尾市,226940,26.0,5.2,50.8,24.8,33.3,13.6,88.5,280.0,39.5,29.4
埼玉県,川越市,354571,25.2,5.8,51.5,25.0,33.4,6.94,88.0,295.0,40.2,27.4
千葉県,佐倉市,168680,29.5,4.0,48.0,23.0,32.7,8.53,72.0,340.0,46.9,20.1
神奈川県,横浜市,3777491,24.8,5.8,52.4,28.6,33.5,1.88,95.5,210.0,13.8,51.8
千葉県,木更津市,136166,27.8,3.0,46.0,21.5,32.3,8.04,60.0,405.0,54.0,20.0
埼玉県,春日部市,231646,28.5,5.5,51.0,25.5,33.5,5.51,82.0,320.0,46.0,24.9
千葉県,市原市,269289,28.8,3.5,46.5,22.0,32.4,8.06,62.0,395.0,52.6,19.0
埼玉県,久喜市,151467,28.8,5.8,51.5,25.5,33.5,5.05,72.0,365.0,46.5,27.3
群馬県,桐生市,105862,33.5,5.5,50.5,24.0,33.2,7.4008802726502045,55.0,410.0,74.8,1.8
埼玉県,深谷市,141451,28.2,7.0,53.5,27.0,34.0,6.28,55.0,420.0,49.1,24.2
群馬県,高崎市,370884,27.8,7.2,53.5,26.5,34.0,8.78,68.0,430.0,75.7,3.9
群馬県,太田市,223014,26.5,8.0,54.5,27.5,34.2,13.69,60.0,450.0,81.5,2.8
群馬県,伊勢崎市,212120,25.8,9.0,55.5,28.0,34.5,5.26,62.0,440.0,78.2,1.0
群馬県,前橋市,332149,29.2,8.5,55.0,28.5,34.5,10.14,65.0,445.0,78.6,1.2
埼玉県,熊谷市,195068,29.0,15.2,58.5,32.0,35.8,3.48,68.0,410.0,47.3,27.0
